limitación,sección,por qué importa,cómo se trata
Régimen de pandemia dentro del período,3.1,El 1.º semestre de 2021 tiene siniestralidad marcadamente menor. Sesga a la baja las tasas estimadas sobre el arranque de la serie.,Declararlo; o mover el inicio a 2021-07-01 (una línea en el ETL).
Sin señal temporal de corto plazo por barrio,4.2,Descarta las reglas de persistencia y acota lo que cualquier modelo puede lograr.,Línea base = tasa del barrio × calendario; justificar todo modelo contra ella.
Variables exógenas sin variación espacial,"2.7, 4.3",Clima y calendario son iguales para los 62 barrios cada día: no explican diferencias entre zonas.,"Construir la tasa histórica del barrio, ajustada sólo con entrenamiento."
"Clima observado, no pronosticado",1.2,"En producción habría pronóstico, con su propio error. El desempeño medido es una cota optimista.","Declararlo en el informe; si se puede, evaluar con pronóstico diferido."
Sin datos de exposición (tránsito),"3.2, 4.4","Se modela el conteo observado, no el riesgo por viaje. Un barrio muy transitado aparece arriba aunque sea seguro por unidad de exposición.",Limitar las afirmaciones a conteo esperado; no hablar de 'peligrosidad'.
Duplicados exactos en la fuente,2.2,Inflaban la cola alta del objetivo con repeticiones del mismo registro.,Eliminados; criterio declarado. Revisar si la fuente se actualiza.
Faltantes encubiertos como texto,2.1,"Afectan a columnas descriptivas, no a las que consume el modelo.",No se imputa; se declara el conteo.
Siniestros fuera de todo polígono,2.6,Fricción entre la geocodificación y los límites de barrio.,Se descartan y se documenta el conteo.
Catálogo de barrios y estratos definidos sobre todo el período,3.2,Usan información posterior al corte de entrenamiento. Fuga leve pero real.,Recalcular el estrato sólo con entrenamiento antes de reservar zonas.
Subregistro de siniestros,—,El archivo contiene los siniestros registrados; la fracción no registrada es desconocida y probablemente no uniforme entre barrios.,No es medible con estos datos. Declararlo como amenaza a la validez.
